name,platform,membership,title_id,product_id,concept_id,entitlement_id,is_preorder,is_downloadable,image_url,store_url
Biomutant,PS5,PS_PLUS,PPSA06254_00,EP4389-PPSA06254_00-BIOMUTANTEUPS500,,EP4389-PPSA06254_00-BIOMUTANT0000000,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA06254_00/app/info/7/fi_7102269a3d96151895a37f1ff1f3280c99da42a524fc5ca93faa13f3bbab8478/icon0.png,https://store.playstation.com/product/EP4389-PPSA06254_00-BIOMUTANTEUPS500
Mass Effect™ Legendary Edition,PS4,PS_PLUS,CUSA19515_00,EP0006-CUSA19515_00-METR000000000000,,EP0006-CUSA19515_00-METR000000000000,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA19515_00/3/i_3c0219f2de00c19a8bba2471a7c4622a3509d9135355764385c8bdd5a6cf3e49/i/icon0.png,https://store.playstation.com/product/EP0006-CUSA19515_00-METR000000000000
ONE PIECE: PIRATE WARRIORS 4,PS4,NONE,CUSA17226_00,EP0700-CUSA17226_00-OPPW4DLXED000000,,EP0700-CUSA17226_00-OPPW4EUHDDGAME00,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA17226_00/3/i_434a32e0bdb77244766c7255870f8d8d137fd455307eddbe02ff8507a7eaef2c/i/icon0.png,https://store.playstation.com/product/EP0700-CUSA17226_00-OPPW4DLXED000000
God of War Ragnarök,PS4,NONE,CUSA34386_00,EP9000-PPSA08330_00-GOWRAGNAROK00000,,EP9000-CUSA34386_00-GOWRAGNAROK00000,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA34386_00/53/i_c6dd6261fc00449267971847466f8e89ff9e740a2f0ad66e59ed372535b2aa95/i/icon0.png,https://store.playstation.com/product/EP9000-PPSA08330_00-GOWRAGNAROK00000
God of War Ragnarök,PS5,NONE,PPSA08330_00,EP9000-PPSA08330_00-GOWRAGNAROK00000,,EP9000-PPSA08330_00-GOWRAGNAROK00000,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA08330_00/app/info/171/fi_09a9541dde508627c19bb82b87b71af3d85c063930c98c4627ecf8ad81b89208/icon0.png,https://store.playstation.com/product/EP9000-PPSA08330_00-GOWRAGNAROK00000
Heavenly Bodies,PS4,PS_PLUS,CUSA26431_00,EP8198-PPSA02575_00-6092745508330153,,EP8198-CUSA26431_00-5205410746933403,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA26431_00/2/i_af70e1722b23c5da04a46086f21ea640f163d6ac3e9c6847ad0d0bd2263e7451/i/icon0.png,https://store.playstation.com/product/EP8198-PPSA02575_00-6092745508330153
Heavenly Bodies,PS5,PS_PLUS,PPSA02575_00,EP8198-PPSA02575_00-6092745508330153,,EP8198-PPSA02575_00-6092745508330153,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA02575_00/app/info/28/fi_a2ff888628d48d619b61117fe04fa6dce2e9ed211c546e133e6deda50c3e40dd/icon0.png,https://store.playstation.com/product/EP8198-PPSA02575_00-6092745508330153
LEGO® Harry Potter™ Collection,PS4,PS_PLUS,CUSA05935_00,EP1018-CUSA05935_00-HARRYPOTTER17000,,EP1018-CUSA05935_00-HARRYPOTTER17000,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA05935_00/3/i_7eaed8bedee162b62dc6cd22de49eb1885def316daddea225944ef5f0dfec4a1/i/icon0.png,https://store.playstation.com/product/EP1018-CUSA05935_00-HARRYPOTTER17000
Nioh 2,PS4,PS_PLUS,CUSA15526_00,EP9000-CUSA15526_00-NIOH2EU100000000,,EP9000-CUSA15526_00-NIOH2EU000000000,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA15526_00/1/i_82f0bc4636c3b45cd378670535ca85ffe9303852666585488b7f0f1d4e064581/i/icon0.png,https://store.playstation.com/product/EP9000-CUSA15526_00-NIOH2EU100000000
Nioh 2 Remastered,PS5,PS_PLUS,PPSA02488_00,EP9000-CUSA15526_00-NIOH2EU100000000,,EP9000-PPSA02488_00-NIOH2EU000000000,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA02488_00/app/info/23/f_cfe9a08bc6a2f75e2811ca114b23c8fb87ab9c302cdc4a7ad97a217ccef6cb10/icon0.png,https://store.playstation.com/product/EP9000-CUSA15526_00-NIOH2EU100000000
